,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,Pokrovskoye,47.4157,38.8971,72.18,62,97,16.28,RU,1661032300
286,Vestmanna,62.1564,-7.1664,47.32,100,100,12.66,FO,1661032300
287,Beipiao,41.7919,120.7792,62.6,92,41,5.17,CN,1661032301
288,Charters Towers,-20.1,146.2667,61.18,77,0,4.9,AU,1661032114
289,Sadovoye,47.7764,44.5089,73.67,19,100,20.83,RU,1661032301
290,Quimper,48.0,-4.1,59.58,94,100,2.3,FR,1661032301
291,Angola,-12.5,18.5,53.22,29,4,4.38,AO,1661032302
292,Boyolangu,-8.1181,111.8935,73.47,87,100,7.16,ID,1661032302
293,Umeå,63.8284,20.2597,64.33,100,100,16.11,SE,1661032302
294,Waddān,29.1614,16.139,82.4,51,0,12.01,LY,1661032303
295,Lyuban',52.7985,28.0048,64.89,62,92,9.37,BY,1661032303
296,Suntar,62.1444,117.6319,46.9,89,99,0.96,RU,1661032303
297,Pontianak,-0.0333,109.3333,75.18,100,100,0.0,ID,1661032149
298,Swellendam,-34.0226,20.4417,45.19,80,2,3.51,ZA,1661032304
299,Amazar,53.858,120.875,45.19,93,57,2.73,RU,1661032304
300,Aksarka,66.5606,67.7975,49.68,83,100,6.58,RU,1661032304
301,Balbalan,17.4414,121.2019,63.77,94,90,2.1,PH,1661032305
302,Emerald,-23.5333,148.1667,54.34,55,1,16.6,AU,1661032096
303,Flinders,-34.5833,150.8552,50.18,69,7,5.99,AU,1661032305
304,Coquimbo,-29.9533,-71.3436,53.33,93,100,10.36,CL,1661032305
305,Tabasalu,59.4303,24.5331,66.29,79,0,4.61,EE,1661032306
306,Kuching,1.55,110.3333,77.22,100,40,4.61,MY,1661032232
307,Zyryanka,65.75,150.85,63.48,50,56,14.81,RU,1661032154
308,Changqing,36.5575,116.7272,69.93,75,83,5.55,CN,1661032306
309,Dalvik,65.9702,-18.5286,44.53,97,100,10.25,IS,1661032307
310,Severo-Kuril'sk,50.6789,156.125,54.19,98,100,8.48,RU,1661032307
311,Sovetskaya Gavan',48.9723,140.2878,60.28,72,80,8.19,RU,1661032307
312,Kyra,49.5776,111.9753,47.39,77,100,3.29,RU,1661032308
313,Hasaki,35.7333,140.8333,77.4,94,100,7.07,JP,1661032231
314,Bocaiúva,-17.1078,-43.815,71.31,68,84,10.13,BR,1661032308
315,Mar del Plata,-38.0023,-57.5575,59.02,44,0,9.22,AR,1661032309
316,Tessalit,20.1986,1.0114,88.75,33,64,7.43,ML,1661032309
317,Rawson,-43.3002,-65.1023,46.42,82,38,9.64,AR,1661032309
318,Yārāda,17.65,83.2667,82.8,75,100,7.0,IN,1661032310
319,Tinos,37.5375,25.1634,83.16,61,0,0.0,GR,1661032310
320,Usinsk,65.9939,57.5281,61.86,78,74,10.07,RU,1661032310
321,Koson,39.0375,65.585,68.32,16,0,17.29,UZ,1661032311
322,Samarai,-10.6167,150.6667,77.77,85,52,11.77,PG,1661032152
323,Beira,-19.8436,34.8389,64.49,88,0,0.0,MZ,1661032311
324,Hohhot,40.8106,111.6522,71.89,78,40,4.47,CN,1661032311
325,Ancud,-41.8697,-73.8203,50.02,90,91,3.89,CL,1661032291
326,Slave Lake,55.2834,-114.769,71.58,78,100,5.75,CA,1661032312
327,Saint Paul Harbor,57.79,-152.4072,54.91,94,100,11.5,US,1661032312
328,Kloulklubed,7.0419,134.2556,82.53,73,94,2.13,PW,1661032313
329,Djibouti,11.5,42.5,78.21,62,100,8.28,DJ,1661032309
330,Amalāpuram,16.5833,82.0167,79.99,78,100,6.4,IN,1661032313
331,Wanlaweyn,2.6185,44.8938,74.66,84,88,14.9,SO,1661032313
332,Vanimo,-2.6741,141.3028,77.11,86,81,3.29,PG,1661032314
333,Calella,41.618,2.6678,80.1,80,1,6.67,ES,1661032314
334,Berlevåg,70.8578,29.0864,71.4,83,40,17.27,NO,1661032314
335,Paka,4.6374,103.4368,73.33,100,100,0.0,MY,1661032315
336,Marzuq,14.4,46.4667,79.36,53,98,6.46,YE,1661032315
337,Boden,65.8252,21.6886,68.0,96,100,8.97,SE,1661032315
338,Kalakamati,-20.5929,27.3121,51.98,21,8,7.96,BW,1661032316
339,San Quintín,30.4833,-115.95,73.24,69,9,8.93,MX,1661032316
340,Geraldton,-28.7667,114.6,45.01,93,0,8.05,AU,1661032316
341,Gouré,13.9835,10.2704,81.01,53,92,8.52,NE,1661032317
342,Lawrence,38.9717,-95.2353,88.79,45,0,11.5,US,1661032317
343,Itarema,-2.9248,-39.9167,77.7,74,27,16.42,BR,1661032317
344,Magistral'nyy,56.1725,107.4458,47.8,95,100,3.24,RU,1661032318
345,Dongsheng,39.8161,109.9776,66.94,88,82,15.93,CN,1661032128
346,Esperance,-33.8667,121.9,51.93,82,2,7.23,AU,1661032318
347,Bako,5.7833,36.5667,62.56,84,64,2.82,ET,1661032318
348,Kobylí,48.9329,16.8916,67.08,94,100,11.01,CZ,1661032319
349,Codrington,-38.2667,141.9667,38.01,84,7,8.75,AU,1661032319
350,Thunder Bay,48.4001,-89.3168,75.11,50,75,5.75,CA,1661032319
351,Rengāli,21.6333,84.05,74.48,92,100,10.56,IN,1661032320
352,Yunyang,33.4474,112.7142,75.38,80,82,2.68,CN,1661032320
353,Atambua,-9.1061,124.8925,66.25,78,3,6.31,ID,1661032324
354,Mulegé,26.8833,-111.9833,85.82,46,100,1.88,MX,1661032324
355,Namatanai,-3.6667,152.4333,80.51,78,50,6.24,PG,1661032325
356,Antofagasta,-23.65,-70.4,58.28,78,43,5.32,CL,1661032097
357,Shaunavon,49.6501,-108.4181,83.98,21,70,12.06,CA,1661032325
358,Houma,29.5958,-90.7195,78.8,94,97,1.01,US,1661032168
359,Mount Isa,-20.7333,139.5,58.77,31,0,10.36,AU,1661032326
360,Santa Rosa,14.3122,121.1114,78.78,90,100,0.81,PH,1661032269
361,Envira,-7.3,-70.2167,73.85,54,99,2.37,BR,1661032326
362,Lipari,38.4674,14.954,81.1,68,8,13.31,IT,1661032327
363,Am Timan,11.0297,20.2827,72.88,93,94,4.7,TD,1661032327
364,Taraz,42.9,71.3667,57.61,44,0,13.42,KZ,1661032327
365,Villa Florida,-26.3833,-57.15,54.77,58,0,5.26,PY,1661032328
366,Faya,18.3851,42.4509,68.11,84,49,6.58,SA,1661032328
367,Hong Kong,22.2855,114.1577,83.25,91,90,11.01,HK,1661032328
368,Savannah Bight,16.45,-85.85,83.86,76,66,17.02,HN,1661032329
369,Valdivia,-39.8142,-73.2459,57.29,91,100,2.57,CL,1661032329
370,Dédougou,12.4667,-3.4667,72.28,91,81,3.29,BF,1661032330
371,Province of Groningen,53.25,6.75,63.16,86,0,2.3,NL,1661032330
372,Cam Ranh,11.9214,109.1591,76.96,94,40,3.44,VN,1661032160
373,Smithers,54.7804,-127.1743,79.12,36,20,0.0,CA,1661032331
374,Benguela,-12.5763,13.4055,70.27,77,80,3.94,AO,1661032161
375,Kenai,60.5544,-151.2583,64.49,74,100,10.36,US,1661032160
376,Luanda,-8.8368,13.2343,67.06,89,90,4.79,AO,1661032259
377,Seoul,37.5683,126.9778,76.6,91,75,1.14,KR,1661032331
378,Tiverton,50.9,-3.4833,61.18,83,0,6.91,GB,1661032332
379,Iskateley,67.6803,53.1512,61.09,81,60,10.63,RU,1661032332
380,Campoverde,-8.4753,-74.8058,80.29,30,2,3.69,PE,1661032332
381,Kavaratti,10.5669,72.642,81.05,78,100,15.41,IN,1661032333
382,Khovd,48.0056,91.6419,44.47,46,8,3.29,MN,1661032333
383,La Ferté-Bernard,48.1863,0.6536,65.82,54,82,3.91,FR,1661032333
384,La Providencia,28.7167,-111.5833,80.42,70,100,12.19,MX,1661032334
385,Erenhot,43.6475,111.9767,74.37,54,26,12.1,CN,1661032163
386,Muş Province,39.0,41.75,68.0,24,6,5.46,TR,1661032334
387,Parabel',58.6978,81.4825,50.43,96,100,12.01,RU,1661032335
388,Khorixas,-20.3667,14.9667,62.4,14,55,10.47,NA,1661032335
389,Kiama,-34.6833,150.8667,55.0,71,14,3.0,AU,1661032335
390,Hofn,64.2539,-15.2082,51.24,77,100,5.39,IS,1661032336
391,Huarmey,-10.0681,-78.1522,65.44,74,4,9.17,PE,1661032336
392,Xaxim,-26.9617,-52.5347,45.81,91,0,2.68,BR,1661032336
393,Hambantota,6.1241,81.1185,77.34,100,20,5.75,LK,1661032336
394,Havøysund,70.9963,24.6622,66.43,75,100,28.05,NO,1661032337
395,Noumea,-22.2763,166.4572,72.0,99,98,10.94,NC,1661032172
396,Macusani,-14.0833,-70.4333,41.54,57,22,4.9,PE,1661032337
397,Castro,-24.7911,-50.0119,47.32,90,100,9.08,BR,1661032338
398,Glendive,47.1053,-104.7125,87.49,32,0,10.36,US,1661032338
399,Biak,-0.9131,122.8766,72.59,74,64,5.44,ID,1661032338
400,Praia,14.9215,-23.5087,79.34,83,75,4.61,CV,1661032199
401,Puerto Baquerizo Moreno,-0.9,-89.6,72.59,78,40,13.8,EC,1661032339
402,Guiratinga,-16.3494,-53.7583,75.15,38,11,9.28,BR,1661032339
403,Lázaro Cárdenas,17.9583,-102.2,87.26,60,10,9.48,MX,1661032339
404,Qasigiannguit,68.8193,-51.1922,36.95,80,96,6.35,GL,1661032340
405,Araouane,18.9048,-3.5265,98.31,22,100,9.4,ML,1661032340
406,Brae,60.3964,-1.353,53.04,82,33,18.45,GB,1661032340
407,Bucerías,20.75,-105.3333,82.38,69,100,0.0,MX,1661032139
408,Cayenne,4.9333,-52.3333,82.44,78,0,5.75,GF,1661032341
409,Jalu,29.0331,21.5482,82.94,54,0,14.2,LY,1661032341
410,Constitución,-35.3333,-72.4167,56.5,81,100,9.69,CL,1661032342
411,Kavieng,-2.5744,150.7967,80.89,79,66,12.68,PG,1661032342
412,Manaure,11.7751,-72.4445,88.75,58,7,16.53,CO,1661032195
413,Hingatungan,10.584,125.1852,79.25,82,100,4.23,PH,1661032342
414,Goderich,43.7501,-81.7165,77.32,69,100,10.36,CA,1661032152
415,Dehlorān,32.6941,47.2679,96.35,13,0,6.85,IR,1661032343
416,Boguchany,58.3814,97.4531,51.1,95,100,4.27,RU,1661032343
417,Birao,10.2849,22.7882,69.91,97,100,3.24,CF,1661032343
418,Oktyabr'skiy,54.4815,53.471,57.83,76,0,4.21,RU,1661032344
419,Shimoda,34.6667,138.95,79.11,94,100,8.01,JP,1661032172
420,Sola,-13.8833,167.55,77.67,89,75,2.3,VU,1661032344
421,Kondoa,-4.9,35.7833,59.5,53,13,4.63,TZ,1661032345
422,Abatskiy,56.2875,70.4555,53.1,97,99,10.92,RU,1661032345
423,Pingliang,35.5392,106.6861,68.43,93,70,7.96,CN,1661032347
424,Agadez,19.75,10.25,93.96,27,12,9.22,NE,1661032347
425,Corrales,35.2378,-106.6067,69.04,78,100,18.41,US,1661032347
426,Puerto Colombia,10.9878,-74.9547,80.69,80,100,11.81,CO,1661032348
427,Redlands,34.0556,-117.1825,100.71,41,7,1.99,US,1661032348
428,São João da Barra,-21.6403,-41.0511,68.09,63,98,15.28,BR,1661032348
429,Ponta Delgada,37.7333,-25.6667,68.72,83,20,5.75,PT,1661032349
430,Tămădău Mare,44.4667,26.55,81.48,64,3,5.57,RO,1661032349
431,Walvis Bay,-22.9575,14.5053,68.95,24,49,4.61,NA,1661032349
432,Port-Gentil,-0.7193,8.7815,75.16,88,40,8.05,GA,1661032350
433,Carutapera,-1.195,-46.02,78.48,82,68,8.61,BR,1661032350
434,Qarqīn,37.4185,66.0436,73.8,18,0,12.1,AF,1661032350
435,Kimbe,-5.5502,150.1429,81.03,74,54,4.68,PG,1661032351
436,Padang,-0.9492,100.3543,75.58,92,100,3.42,ID,1661032351
437,Yangambi,0.8102,24.4336,68.79,92,51,1.7,CD,1661032351
438,Cururupu,-1.8283,-44.8683,75.72,84,76,3.85,BR,1661032352
439,Vrangel',42.7297,133.0839,64.4,64,2,6.33,RU,1661032352
440,Fort Nelson,58.8053,-122.7002,76.59,36,40,6.91,CA,1661032352
441,Hamilton,39.1834,-84.5333,83.77,72,0,8.05,US,1661032353
442,Muisne,0.6,-80.0333,74.75,79,100,8.84,EC,1661032353
443,Dingle,10.9995,122.6711,76.06,89,100,1.3,PH,1661032353
444,Tiznit Province,29.5833,-9.5,90.7,23,86,5.86,MA,1661032354
445,Dryden,49.7833,-92.7503,71.89,49,0,4.61,CA,1661032354
446,Los Amates,15.2667,-89.1,83.75,76,100,3.18,GT,1661032354
447,Vila Velha,-20.3297,-40.2925,67.95,82,75,19.57,BR,1661032195
448,Auki,-8.7676,160.7034,80.13,82,100,3.87,SB,1661032355
449,Villefontaine,45.6125,5.1456,69.26,64,0,4.61,FR,1661032355
450,Shāhgarh,24.3167,79.1333,74.17,98,100,14.5,IN,1661032355
451,Vardø,70.3705,31.1107,58.33,94,62,12.91,NO,1661032356
452,Gouyave,12.1646,-61.7296,81.37,78,40,13.8,GD,1661032356
453,Buraidah,26.326,43.975,95.45,15,77,7.78,SA,1661032356
454,Djougou,9.7085,1.666,69.73,96,93,3.87,BJ,1661032357
455,Camaná,-16.6228,-72.7111,61.29,75,4,6.4,PE,1661032357
456,Svatove,49.4103,38.1503,77.0,36,100,17.07,UA,1661032357
457,Sitka,57.0531,-135.33,57.09,88,100,5.75,US,1661032201
458,Ganzhou,28.8184,115.4327,81.25,70,97,4.68,CN,1661032358
459,Carlsbad,33.1581,-117.3506,92.57,72,75,12.66,US,1661032169
460,Galesong,-5.3166,119.3661,69.82,68,68,1.7,ID,1661032358
461,Quatre Cocos,-20.2078,57.7625,71.71,74,17,12.91,MU,1661032359
462,Oussouye,12.485,-16.5469,80.69,86,100,8.14,SN,1661032359
463,Tārūt,26.5733,50.0369,93.42,41,0,8.43,SA,1661032359
464,Mīzan Teferī,6.9833,35.5833,57.97,97,98,1.41,ET,1661032360
465,Vila Franca do Campo,37.7167,-25.4333,68.41,84,41,4.65,PT,1661032124
466,Waingapu,-9.6567,120.2641,75.65,79,11,13.51,ID,1661032360
467,North Platte,41.1239,-100.7654,84.09,38,0,7.0,US,1661032295
468,Yangi Marg`ilon,40.4272,71.7189,74.12,17,10,11.5,UZ,1661032361
469,Rockport,28.0206,-97.0544,91.45,73,0,19.57,US,1661032075
470,Bandundu Province,-3.3167,17.3667,81.21,58,86,3.4,CD,1661032361
471,Forsytheganj,52.6333,29.7333,59.97,78,83,7.85,BY,1661032361
472,Pemangkat,1.1667,108.9667,75.9,91,100,4.61,ID,1661032362
473,Sturgeon Bay,44.8342,-87.377,73.8,68,20,6.91,US,1661032343
474,Kingsport,36.5484,-82.5618,87.67,62,75,3.0,US,1661032330
475,Iqaluit,63.7506,-68.5145,44.33,81,75,4.61,CA,1661032362
476,Xichang,27.8964,102.2634,64.98,92,37,0.83,CN,1661032363
477,Basoko,1.2391,23.616,70.03,96,78,2.62,CD,1661032363
478,Cacimba de Dentro,-6.6417,-35.79,65.26,84,79,11.07,BR,1661032363
479,Papetoai,-17.4961,-149.8729,80.19,73,38,13.13,PF,1661032364
480,Owerri,5.4833,7.0304,73.9,90,93,3.6,NG,1661032364
481,Assiut,27.181,31.1837,89.28,23,1,7.16,EG,1661032364
482,Cashel,52.5158,-7.8856,52.97,96,73,5.1,IE,1661032316
483,Liverpool,53.4106,-2.9779,64.71,70,40,19.57,GB,1661032365
484,Camacha,33.0833,-16.3333,69.22,83,40,5.75,PT,1661032365
485,San Cristobal,7.7669,-72.225,82.58,85,100,5.01,VE,1661032365
486,Mackay,-21.15,149.2,60.67,74,0,9.93,AU,1661032366
487,Celestún,20.8667,-90.4,83.75,78,18,16.91,MX,1661032366
488,Urengoy,65.9667,78.3667,40.21,92,48,9.42,RU,1661032366
489,Kysyl-Syr,63.8986,122.7617,45.91,96,100,4.45,RU,1661032367
490,Dunedin,-45.8742,170.5036,52.81,83,100,5.01,NZ,1661032367
491,San Rafael,-34.6177,-68.3301,63.9,19,62,8.41,AR,1661032367
492,Phak Hai,14.4574,100.3699,77.25,82,99,7.94,TH,1661032368
493,Maskinongé,46.2286,-73.0192,86.0,51,0,9.22,CA,1661032368
494,Waipawa,-41.4122,175.5153,55.17,80,62,12.15,NZ,1661032368
495,Oberá,-27.4871,-55.1199,47.88,80,0,2.39,AR,1661032369
496,Harper,4.375,-7.7169,74.89,82,75,6.2,LR,1661032369
497,Saint-Pierre,-21.3393,55.4781,69.48,65,75,8.05,RE,1661032370
498,Aborlan,9.4352,118.5492,78.87,86,55,1.9,PH,1661032370
499,Morant Bay,17.8815,-76.4093,80.22,72,2,9.69,JM,1661032370
500,Erie,42.7667,-78.6664,88.61,49,94,1.99,US,1661032261
501,Portobelo,9.55,-79.65,82.72,84,99,4.27,PA,1661032372
502,Lagoa,39.05,-27.9833,73.94,76,0,5.21,PT,1661032373
503,La Ronge,55.1001,-105.2842,84.42,39,100,12.66,CA,1661032373
504,Cortes,41.9395,-1.4396,83.48,40,41,8.95,ES,1661032373
505,Taksimo,56.3444,114.8794,46.67,92,100,2.3,RU,1661032374
506,Tricase,39.9304,18.3553,79.32,66,0,7.78,IT,1661032374
507,Bodden Town,19.2833,-81.25,88.99,71,40,6.91,KY,1661032374
508,Poum,-20.2333,164.0167,72.66,77,56,9.91,NC,1661032375
509,Nome,64.5011,-165.4064,63.16,52,0,19.57,US,1661032302
510,Xining,36.6167,101.7667,62.35,85,100,1.81,CN,1661032375
511,Barbate,36.1924,-5.9219,72.28,75,0,6.55,ES,1661032376
512,Ōhara,35.25,140.3833,75.7,97,100,8.72,JP,1661032376
513,Khani,41.9563,42.9566,63.97,41,86,6.53,GE,1661032376
514,Belaya Gora,68.5333,146.4167,62.89,67,84,7.92,RU,1661032377
515,Mayo,38.8876,-76.5119,90.1,57,0,9.22,US,1661032377
516,Saint-Leu,-21.15,55.2833,70.63,69,3,4.18,RE,1661032377
517,Rumphi,-11.0186,33.8575,65.79,47,8,4.07,MW,1661032378
518,Galich,58.3797,42.3475,55.44,67,96,4.94,RU,1661032378
519,Takefu,35.9039,136.1669,76.06,97,93,3.47,JP,1661032378
520,Sangar,63.9242,127.4739,48.7,87,99,6.2,RU,1661032379
521,Oddur,4.1213,43.8894,71.67,78,94,18.3,SO,1661032379
522,Arman',59.7,150.1667,55.02,95,100,9.01,RU,1661032379
523,Marsaxlokk,35.8419,14.5431,79.09,78,0,17.27,MT,1661032380
524,Belmonte,-15.8631,-38.8828,72.34,75,19,13.82,BR,1661032380
525,Matagami,49.7502,-77.6328,66.31,94,100,0.0,CA,1661032380
526,Mandera,3.9366,41.867,78.35,56,98,20.2,KE,1661032381
527,Sakaiminato,35.55,133.2333,78.78,89,75,13.8,JP,1661032381
528,Port Augusta,-32.5,137.7667,49.57,91,9,2.48,AU,1661032381
529,Maltahöhe,-24.8333,16.9833,50.56,23,0,10.94,NA,1661032382
530,Zhangaözen,43.3,52.8,66.96,40,72,18.77,KZ,1661032382
531,Kumul,42.8,93.45,69.21,15,54,18.19,CN,1661032382
532,Fairbanks,64.8378,-147.7164,64.74,45,75,5.75,US,1661032383
533,Bara,10.3744,10.7288,73.76,86,88,4.61,NG,1661032203
534,Bovenden,51.5833,9.9333,65.98,78,33,2.62,DE,1661032383
535,Port Alberni,49.2413,-124.8028,82.89,63,18,2.1,CA,1661032312
536,Santa Vitória do Palmar,-33.5189,-53.3681,48.11,68,44,4.59,BR,1661032333
537,Sur,22.5667,59.5289,89.02,56,98,11.14,OM,1661032384
538,Daru,-9.0763,143.2092,76.82,80,14,12.19,PG,1661032272
539,Kozhva,65.1073,57.0459,60.85,78,10,4.92,RU,1661032384
540,Lüderitz,-26.6481,15.1594,58.95,54,0,17.4,NA,1661032385
541,Balkhash,46.844,74.9804,58.51,55,96,13.13,KZ,1661032385
542,Malayal,7.208,121.942,76.8,84,83,4.16,PH,1661032386
543,Nikol'sk,53.7189,46.0712,54.03,54,50,6.82,RU,1661032386
544,Salina,38.8403,-97.6114,88.3,45,20,12.66,US,1661032243
545,Wieliczka,49.9874,20.0647,68.09,84,98,3.0,PL,1661032386
546,Lucapa,-8.4192,20.7447,72.14,36,15,2.71,AO,1661032387
547,Hvittingfoss,59.4833,10.0167,62.26,68,8,4.0,NO,1661032387
548,Dinguiraye,11.3,-10.7167,69.31,98,100,5.46,GN,1661032387
549,Jinchang,38.4953,102.1739,73.24,48,78,4.07,CN,1661032388
550,Mercedes,-34.6515,-59.4307,57.63,42,4,6.55,AR,1661032388
551,Trairi,-3.2778,-39.2689,77.83,73,23,14.14,BR,1661032134
552,Alice Springs,-23.7,133.8833,35.15,75,0,0.0,AU,1661032389
553,Tefé,-3.3542,-64.7114,75.31,78,75,3.44,BR,1661032389
554,Tak,16.5833,98.8333,71.78,95,99,3.31,TH,1661032389
555,Arlit,18.7369,7.3853,84.29,49,100,12.46,NE,1661032390
556,Atar,20.5169,-13.0499,94.66,42,3,6.62,MR,1661032390
557,Lapua,62.9693,23.0088,70.48,74,97,11.77,FI,1661032390
558,Bakel,14.905,-12.4568,81.16,78,94,8.9,SN,1661032391
559,Shenjiamen,29.9576,122.298,78.48,95,93,3.78,CN,1661032391
560,Sühbaatar,50.2314,106.2078,48.99,92,100,5.39,MN,1661032391
561,Natal,-5.795,-35.2094,79.02,69,0,12.66,BR,1661032234
562,Témiscaming,46.7212,-79.0971,80.15,73,99,4.61,CA,1661032392
563,Sterling,39.0062,-77.4286,88.16,58,75,14.0,US,1661032230
564,Buchanan,5.8808,-10.0467,76.06,82,100,6.96,LR,1661032392
565,Mae Ramat,16.984,98.5166,77.79,98,100,1.52,TH,1661032393
566,Chino Valley,34.7575,-112.4538,87.12,45,1,4.0,US,1661032393
567,Prieska,-29.6641,22.7474,46.6,40,0,7.07,ZA,1661032393
568,Lavrentiya,65.5833,-171.0,47.98,73,45,5.39,RU,1661032394
569,Ovsyanka,55.9575,92.5519,54.57,98,99,5.12,RU,1661032394
570,Riyadh,24.6877,46.7219,93.34,12,0,6.2,SA,1661032198
571,Korla,41.7597,86.1469,72.55,37,44,16.84,CN,1661032395
572,Laguna,38.421,-121.4238,106.14,25,0,5.75,US,1661032395
573,Whitehorse,60.7161,-135.0538,70.11,42,75,12.66,CA,1661032395
